PRT_ID;AREA;INT_SQFT;DIST_MAINROAD;N_BEDROOM;N_BATHROOM;N_ROOM;SALE_COND;PARK_FACIL;DATE_BUILD;BUILDTYPE;UTILITY_AVAIL;STREET;MZZONE;QS_ROOMS;QS_BATHROOM;QS_BEDROOM;QS_OVERALL
P03943;KK Nagar;1990;192;3;2;5;AbNormal;Yes;10/12/2002;Others;AllPub;Paved;RH;3.1;2.8;4.2;3.45
P05196;KK Nagar;1776;95;2;1;4;AdjLand;Yes;18/04/1986;Commercial;NoSewr ;Paved;RH;3.8;3.6;3;3.42
P05109;Karapakkam;1179;153;1;1;3;AdjLand;No;02/05/1997;House;AllPub;No Access;I;2.6;4.2;2.1;2.88
P03367;Karapakkam;1260;51;1;1;3;AdjLand;No;11/04/1994;Commercial;NoSewr ;Gravel;RM;4;4.5;2.2;3.43
P05199;Karapakkam;1343;117;2;2;4;Family;No;20/04/1974;Commercial;ELO;No Access;A;3.7;4.8;4.6;4.39
P05119;KK Nagar;2050;191;3;2;5;Family;Yes;30/04/1997;Commercial;NoSeWa;Gravel;RH;2.4;3.7;2.1;2.67
P07229;Chrompet;972;102;1;1;3;AdjLand;Yes;16/01/2003;House;ELO;No Access;RM;4.7;3.2;3.7;3.8
P03217;Velachery;1959;55;3;2;5;AbNormal;No;07/05/1994;Commercial;NoSeWa;Paved;RL;4.8;4.7;3;4.22
P07688;KK Nagar;1665;154;2;1;4;AbNormal;Yes;06/09/1994;Others;NoSeWa;Gravel;RM;5;3.1;4.4;4.19
P09453;Chrompet;1032;153;1;1;3;Normal Sale;No;08/12/1973;Commercial;NoSeWa;Gravel;RH;2.1;3.4;3;2.89
P00678;Chrompet;1061;103;1;1;3;Normal Sale;Yes;01/11/1975;Others;ELO;Paved;RM;4.6;2.2;2.8;3.1
P05616;KK Nagar;2085;134;3;2;5;Family;No;29/01/1993;House;AllPub;Gravel;RM;4.4;2.1;4.1;3.59
P05357;Chrompet;801;104;1;1;3;AdjLand;No;21/03/1971;Commercial;AllPub;No Access;RM;4.6;4.9;4.3;4.63
P07928;Chrompet;1107;36;1;1;3;Partial;No;23/06/2001;Commercial;NoSewr ;Gravel;RL;3.4;3.7;4.4;3.82
P04492;T Nagar;1586;23;1;1;4;AdjLand;No;29/08/1976;House;NoSeWa;No Access;RH;2.9;2.5;4.3;3.43
P07200;Chrompet;1197;29;1;1;3;Family;No;30/01/1981;House;ELO;No Access;RM;2;2.9;3.2;2.72
P06435;Karapakkam;672;34;1;1;2;Normal Sale;Yes;24/08/1991;House;NoSewr ;No Access;RH;2.6;3;3.6;3.12
P04653;Adyar;974;135;1;1;3;AdjLand;No;28/07/1996;House;AllPub;Paved;RM;3.3;4.6;2.3;3.06
P06673;Anna Nagar;1522;81;1;1;4;Family;No;30/06/2004;House;AllPub;Paved;RL;2.4;3.8;2.4;2.75
P02781;KK Nagar;1512;108;2;1;4;Family;No;31/07/2006;Others;AllPub;Gravel;RM;4.6;2.6;4.7;4.04
P07527;Adyar;1152;80;1;1;3;AbNormal;Yes;23/10/1969;House;AllPub;Paved;RL;3.9;3;3.7;3.62
P09634;Velachery;1762;142;2;1;4;Family;Yes;26/05/1982;House;NoSeWa;No Access;RH;2.7;2.1;4.8;3.06
P04240;Velachery;1787;116;2;1;4;AdjLand;No;20/10/1961;Others;NoSeWa;Paved;RH;3.9;3.6;3.2;3.56
P03767;KK Nagar;1301;64;1;1;3;Family;Yes;16/01/2004;Commercial;NoSeWa;Paved;RH;3.3;3.8;3.5;3.53
P06007;KK Nagar;1996;51;3;2;5;Partial;Yes;15/11/1997;Commercial;NoSeWa;Gravel;RM;2.5;3;2.8;2.77
P02314;Karapakkam;1122;199;1;1;3;Family;Yes;29/10/1995;Others;ELO;Paved;RM;4.6;4.7;2.6;3.83
P09354;Velachery;1748;76;2;1;4;Family;No;19/01/1958;Others;ELO;No Access;RM;4.1;3.7;3.8;3.83
P01593;Anna Nagar;1943;171;2;1;5;AbNormal;Yes;22/03/1979;Commercial;ELO;Gravel;RM;3.9;2.4;2.1;2.805
P02947;KK Nagar;1474;173;2;1;4;Normal Sale;Yes;01/07/1984;Commercial;NoSewr ;Paved;RL;3;3.7;2.4;2.97
P02013;Karapakkam;1081;112;1;1;3;AbNormal;Yes;04/01/1975;House;AllPub;Paved;C;2.3;4.6;3.9;3.63
P06240;Karapakkam;1010;116;1;1;3;Partial;No;10/10/1968;Commercial;NoSeWa;Paved;I;4.9;3.3;2.1;3.3
P06316;Karapakkam;1351;95;2;2;4;Partial;Yes;25/09/1965;Others;AllPub;No Access;C;3.3;2.2;2.7;2.73
P04505;Karapakkam;1158;11;1;1;3;Family;Yes;27/08/1975;Others;NoSewr ;No Access;C;3.3;2.3;3.9;3.24
P07521;Velachery;1514;67;2;1;4;Normal Sale;Yes;24/10/1968;Others;AllPub;No Access;C;2.1;2.4;4.9;3.08
P08159;KK Nagar;2219;73;3;2;5;AbNormal;No;12/04/1987;Commercial;NoSeWa;Gravel;RL;4.6;3.3;3.5;3.77
P08010;Adyar;1112;90;1;1;3;AdjLand;Yes;25/05/1997;Commercial;NoSeWa;Gravel;RH;3.3;3.9;3.4;3.47
P01827;Karapakkam;867;147;1;1;2;AbNormal;Yes;10/02/1969;Commercial;NoSeWa;Gravel;C;3.5;4.8;3.3;3.81
P00963;Chrompet;703;137;1;1;2;Partial;Yes;14/04/1974;House;ELO;No Access;RH;3.3;4.3;4.1;3.94
P00340;Anna Nagar;1919;178;2;1;5;Partial;Yes;28/06/2001;House;NoSeWa;Gravel;RM;2.4;5;3.3;3.41
P02936;Adyar;1181;156;1;1;3;Partial;Yes;02/07/1987;Others;ELO;No Access;I;2;2;2;2
P09379;Velachery;1673;86;2;1;4;AdjLand;No;09/01/1962;House;ELO;No Access;RL;2.5;4.8;4;3.99
P09628;Velachery;1644;187;2;1;4;Normal Sale;Yes;11/06/1972;House;NoSeWa;Paved;RM;2.6;4.3;4.5;3.94
P01538;Chrompet;1060;44;1;1;3;Family;No;31/03/1979;Commercial;NoSewr ;No Access;RH;3.2;3.6;3.2;3.36
P01624;Karapakkam;787;43;1;1;2;Partial;Yes;10/03/2003;Others;NoSeWa;Gravel;RL;4.2;2.9;4.1;3.77
P05406;Adyar;1203;18;2;2;4;AdjLand;No;10/03/1974;Commercial;NoSeWa;Gravel;RM;4;3.7;3.4;3.64
P08864;Adyar;668;128;1;1;2;Normal Sale;No;25/07/1988;House;ELO;Gravel;A;2.1;4.7;4.4;3.77
P09474;T Nagar;1667;60;1;1;4;Partial;Yes;24/11/1989;Others;NoSeWa;No Access;RM;4.7;4.8;2.1;3.555
P07798;T Nagar;1976;129;2;1;5;Normal Sale;Yes;02/08/1998;House;ELO;Paved;RL;4.2;2.3;2.1;2.78
P08887;Anna Nagar;1775;30;1;1;4;Normal Sale;No;06/07/2001;Commercial;NoSeWa;Paved;RM;4.6;4.2;4.7;4.54
P06913;Chrompet;1288;78;2;1;4;Family;No;27/04/1981;House;NoSeWa;No Access;RM;2.5;3.1;2.9;2.86
P10034;Velachery;1968;51;3;2;5;AbNormal;No;27/01/1959;Others;AllPub;No Access;C;3.7;4.4;4.7;4.32
P07624;T Nagar;1915;195;2;1;5;AbNormal;Yes;27/09/1970;Others;NoSewr ;Paved;RM;3.6;3.4;3.8;3.64
P02219;Chrompet;750;33;1;1;2;Normal Sale;No;18/11/1988;Others;NoSewr ;Gravel;RL;4;2.3;3.4;3.14
P03599;Velachery;1528;135;2;1;4;Partial;No;26/02/1981;House;AllPub;Gravel;I;4.6;2.3;3.4;3.21
P03703;Karapakkam;1635;8;2;2;4;Family;No;04/02/1984;House;NoSewr ;Paved;RM;4.1;4.1;2.8;3.58
P06148;Karapakkam;663;102;1;1;2;AbNormal;No;17/10/1990;House;ELO;No Access;I;2.4;3.3;4.6;3.55
P04714;Chrompet;1211;156;2;1;4;AdjLand;No;18/07/1991;House;NoSewr ;No Access;RH;2.7;4.8;2.5;3.48
P03623;Karapakkam;1341;165;2;2;4;AbNormal;No;23/02/1973;Commercial;AllPub;No Access;C;4;4;4.2;4.08
P05121;Karapakkam;712;67;1;1;2;AbNormal;No;03/05/1981;Commercial;NoSewr ;Gravel;RH;3.2;3.1;2;2.69
P01880;Karapakkam;1332;146;1;1;3;Normal Sale;No;31/01/1975;Commercial;NoSewr ;Paved;RM;4.6;2.7;4.3;3.91
P06043;Anna Nagar;1988;134;2;1;5;Family;No;09/11/1990;Others;NoSewr ;Gravel;RL;2.9;4.2;2.8;3.185
P06046;Karapakkam;1591;184;2;2;4;Normal Sale;No;09/11/1987;House;ELO;Paved;RM;4.1;4.8;4.2;4.35
P08327;Chrompet;1238;88;2;1;4;Family;No;18/02/1992;Commercial;NoSewr ;No Access;RH;3.4;4.1;2.1;3.29
P07360;KK Nagar;1366;3;2;1;4;AdjLand;No;16/12/1980;House;AllPub;Gravel;RM;3.8;4.5;3.2;3.77
P09057;Velachery;1764;30;2;1;4;Partial;Yes;01/05/1982;Others;ELO;No Access;A;2.8;3.4;3.7;3.34
P07509;Chrompet;1272;85;2;1;4;Normal Sale;No;21/10/1998;Others;NoSeWa;Paved;RL;3.8;2.2;2.9;2.89
P05112;Karapakkam;849;198;1;1;2;Family;Yes;09/05/1967;Commercial;NoSewr ;Paved;RM;4.8;2.1;3.3;3.39
P03704;Velachery;1648;111;2;1;4;Family;Yes;31/01/1998;Others;NoSeWa;Paved;C;4.3;2.9;2;2.98
P09980;Velachery;1673;34;2;1;4;Partial;No;30/05/1991;Commercial;AllPub;Gravel;C;3.9;2.8;4.7;3.65
P02630;Karapakkam;1538;90;2;2;4;Partial;Yes;05/09/1987;Commercial;ELO;Gravel;RH;3.8;2.2;4.8;3.72
P03738;Chrompet;1063;187;1;1;3;AdjLand;Yes;27/01/1981;Others;ELO;No Access;RL;3;2;2.4;2.42
P05488;Karapakkam;743;96;1;1;2;Normal Sale;Yes;27/02/1961;Commercial;AllPub;No Access;RM;5;3.9;3.5;4.07
P03078;Anna Nagar;1698;9;1;1;4;AbNormal;No;01/06/2000;Others;AllPub;Paved;RM;2.5;2.6;2.8;2.645
P09894;Velachery;1614;166;2;1;4;Partial;Yes;25/11/1994;Commercial;AllPub;Gravel;RL;4.5;2.7;2.5;3.09
P04897;KK Nagar;1450;169;2;1;4;AdjLand;Yes;14/06/1989;Others;AllPub;Paved;RH;3.8;4.4;2.4;
P03901;KK Nagar;1533;195;2;1;4;Normal Sale;No;24/12/1986;Commercial;NoSeWa;Paved;RL;2.5;2.5;2.5;2.5
P00491;Anna Nagar;1792;156;1;1;4;Family;No;07/03/2003;Commercial;ELO;Gravel;RM;5;2.1;2;3.075
P05563;Chrompet;1144;73;1;1;3;Normal Sale;No;11/02/1979;Commercial;ELO;Gravel;RH;4.5;4.9;3.3;4.3
P09576;Velachery;1901;40;3;2;5;Partial;No;28/09/1958;Others;ELO;Gravel;I;3.3;3.5;5;3.9
P01099;Chrompet;717;130;1;1;2;AdjLand;No;03/01/1985;House;ELO;Paved;RM;3.2;3.1;2.6;2.98
P02876;KK Nagar;2458;172;4;2;6;Partial;No;13/07/1990;House;AllPub;Gravel;RH;5;2.6;4.1;3.92
P09011;Anna Nagar;1766;61;1;1;4;Family;Yes;23/05/1976;Others;ELO;No Access;RL;4.3;2.1;4.7;3.91
P06294;Chrompet;1181;102;1;1;3;Normal Sale;Yes;22/09/1998;House;NoSewr ;Gravel;RM;2.1;2.3;4;2.75
P07647;KK Nagar;1940;113;3;2;5;AdjLand;Yes;15/09/2001;Commercial;NoSewr ;Gravel;RH;2.1;2;2.5;2.23
P02464;Karapakkam;1624;3;2;2;4;Normal Sale;No;04/10/1988;House;NoSewr ;No Access;A;3.5;5;3.2;3.83
P04643;Adyar;767;191;1;1;2;Normal Sale;Yes;28/07/2003;House;AllPub;No Access;RM;4.9;2.8;4.9;4.48
P01093;Chrompet;847;6;1;1;3;Family;Yes;09/01/1978;House;AllPub;Paved;RM;4.2;3.8;2.4;3.5
P06209;KK Nagar;1956;155;3;2;5;AbNormal;No;11/10/1988;Others;AllPub;Paved;RM;3.7;4.3;2.6;3.44
P08732;Chrompet;1059;199;1;1;3;AbNormal;Yes;13/09/1980;Commercial;ELO;Gravel;RM;4.6;3.1;4.6;4
P01689;KK Nagar;1762;86;2;1;4;AdjLand;No;02/03/1993;Commercial;AllPub;Gravel;RH;4.3;2.5;4.7;3.92
P00778;Chrompet;802;3;1;1;3;Normal Sale;No;05/08/1985;Others;ELO;Gravel;RL;3.8;3.5;2.3;3.23
P06378;Anna Nagar;1636;5;1;1;4;AbNormal;Yes;08/09/1989;Others;NoSeWa;Gravel;RH;4.4;3.9;2.4;3.475
P00538;T Nagar;1675;82;1;1;4;Normal Sale;Yes;02/02/1969;Others;NoSewr ;Paved;RH;3.1;2.1;4.3;3.39
P08785;Chrompet;1156;186;1;1;3;Partial;Yes;26/08/1979;House;NoSewr ;Paved;RH;2.5;4.9;2.1;3.34
P09508;Adyar;659;110;1;1;2;Family;Yes;06/11/1981;House;AllPub;Gravel;RH;4.7;3;3.6;3.81
P09175;Chrompet;876;43;1;1;3;Normal Sale;No;15/03/1983;House;ELO;No Access;RM;3.2;5;2.5;3.71
P09969;Velachery;1834;123;3;2;5;AdjLand;No;27/06/1970;Others;ELO;No Access;RH;3.7;4.8;2.2;3.75
P05389;Velachery;1765;38;2;1;4;AdjLand;No;07/03/2003;Others;ELO;Gravel;C;3.4;3.3;2.9;3.21
P07079;Velachery;1727;73;2;1;4;AbNormal;Yes;11/03/1976;House;ELO;Gravel;A;3.3;3.6;2;3.05
P09703;Velachery;1797;96;2;1;4;AdjLand;Yes;30/01/1985;Commercial;ELO;Paved;RL;3.3;4.1;4.3;3.96
P06582;Karapakkam;1419;185;2;2;4;Partial;No;28/07/1976;House;ELO;Paved;RM;2.7;4;4.5;3.81
P08958;Chrompet;1209;148;2;1;4;Family;Yes;05/06/2002;Commercial;AllPub;Gravel;RH;3.9;4.1;4.3;4.1
P04926;T Nagar;1538;32;1;1;4;Family;Yes;07/06/1989;Commercial;ELO;Paved;RH;4.9;3.4;3;3.67
P07107;Velachery;1725;177;2;1;4;Family;Yes;02/03/1978;House;AllPub;Paved;RH;2.8;3.4;4.4;3.55
P09073;Adyar;700;68;1;1;2;AbNormal;Yes;21/04/1986;House;NoSeWa;No Access;RH;3.9;2;3.4;3.27
P07133;Velachery;1649;170;2;1;4;AdjLand;Yes;24/02/1960;House;ELO;Paved;C;4.6;2.6;2.4;3.04
P00389;T Nagar;1655;19;1;1;4;AbNormal;No;29/05/1980;Others;AllPub;Gravel;RH;2.1;4.3;3.9;3.46
P00560;Chrompet;916;181;1;1;3;Normal Sale;Yes;08/01/2002;Commercial;NoSewr ;No Access;RM;4.7;3.1;3.2;3.61
P04919;Karapakkam;1424;139;2;2;4;AbNormal;No;14/06/1966;Commercial;NoSewr ;Gravel;RH;5;2.7;2.7;3.39
P08056;Chrompet;980;84;1;1;3;Normal Sale;No;13/05/1991;Commercial;NoSewr ;Paved;RL;3;3.8;4.6;3.8
P00824;Chrompet;752;116;1;1;2;Normal Sale;No;12/07/1973;Others;NoSeWa;Paved;RM;4.1;4.4;2;3.59
P08874;Velachery;1972;141;3;2;5;Family;No;19/07/1989;House;AllPub;Gravel;RM;4;2;4.3;3.19
P02092;Velachery;1840;52;3;2;5;Partial;No;19/12/1976;Others;NoSeWa;No Access;I;2.4;2.4;2.9;2.55
P02109;Karapakkam;904;82;1;1;3;Normal Sale;Yes;19/12/1971;Others;NoSewr ;No Access;RL;2.4;4.2;3.4;3.34
P01254;Chrompet;1011;14;1;1;3;Normal Sale;No;03/10/1985;Commercial;NoSewr ;Paved;RH;3.8;2.6;2.5;2.93
P04212;Karapakkam;968;165;1;1;3;Partial;No;17/10/2002;Commercial;ELO;No Access;A;3.8;3.9;4.3;4.03
P01824;Chrompet;1073;77;1;1;3;Family;Yes;02/02/2007;Others;NoSeWa;Paved;RH;4.5;3.5;3.8;3.89
P09328;Anna Nagar;1894;98;2;1;5;Family;Yes;25/01/1969;House;NoSewr ;Paved;RH;3.5;4.6;2.9;3.535
P05769;Adyar;618;22;1;1;2;AbNormal;No;28/12/1996;Others;NoSewr ;Gravel;A;4.1;3.2;4.5;4.12
P04458;Karapakkam;1611;106;2;2;4;Normal Sale;Yes;06/09/1965;House;AllPub;No Access;A;4.9;4.4;3;3.99
P02436;Velachery;1738;30;2;1;4;Normal Sale;Yes;13/10/1979;Commercial;NoSeWa;No Access;RH;2.9;2.2;3;2.62
P09316;Velachery;1704;154;2;1;4;Normal Sale;No;21/01/1993;Others;NoSeWa;Paved;RH;4.4;4.6;4.7;4.58
P04676;Karapakkam;1386;97;2;2;4;Family;No;21/07/2005;Others;NoSeWa;Paved;RL;3.3;4.2;3.8;3.77
P06952;Chrompet;1128;141;1;1;3;Family;Yes;11/04/2000;Others;NoSewr ;Gravel;RL;3.6;3.7;3.6;3.64
P06041;Karapakkam;1567;2;2;2;4;Family;No;08/11/1992;Others;AllPub;Gravel;C;4.2;2.9;4.5;3.93
P04312;Adyar;1015;14;1;1;3;Partial;No;27/09/1998;House;AllPub;No Access;RL;3.7;2.7;2.6;2.95
P08794;Chrompet;1286;105;2;1;4;AbNormal;No;24/08/1973;House;AllPub;No Access;RM;2.2;2.2;4.9;3.01
P00853;Chrompet;820;116;1;1;3;Family;No;15/06/2006;House;NoSeWa;Gravel;RH;3.3;5;4.3;4.28
P01372;Anna Nagar;1902;168;2;1;5;Family;Yes;13/07/1970;Commercial;ELO;Paved;RL;4.5;4.9;4.9;4.76
P02672;Karapakkam;1160;52;1;1;3;Family;No;31/08/1968;Commercial;NoSewr ;Paved;RL;4.4;3.5;2.4;3.33
P02257;Karapakkam;971;15;1;1;3;Normal Sale;No;11/11/1983;House;AllPub;Paved;RL;2.4;2.6;2.1;2.34
