PRT_ID,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE
P00917,Chrompet,1268,03-05-2013,101,2.0,1.0,4,Normal Sale,No,11-05-1983,House,NoSeWa,Paved,RH,4.5,3.2,4.0,3.83,235309,33616,8403900
P03254,Velachery,1938,25-04-2011,14,3.0,2.0,5,Family,No,06-05-1967,Others,AllPub,No Access,C,3.3,3.8,3.0,3.44,291509,133261,8328830
P01701,KK Nagar,1496,24-02-2012,135,2.0,1.0,4,Family,No,27-02-1998,House,NoSewr ,Gravel,RH,3.2,3.8,2.8,3.22,265641,137105,8569080
P00042,Anna Nagar,1871,24-01-2015,25,2.0,1.0,5,Normal Sale,No,01-02-1983,Others,AllPub,Gravel,RM,3.6,4.7,2.2,3.315,447127,134138,14904220
P00387,Chrompet,973,24-05-2014,148,1.0,1.0,3,Normal Sale,No,26-05-2006,Commercial,AllPub,Paved,RL,4.2,4.7,2.0,3.74,375838,133362,12123800
P05784,Karapakkam,1699,22-12-2009,10,2.0,2.0,4,Normal Sale,Yes,24-12-2000,Commercial,ELO,No Access,C,3.0,2.9,3.4,3.13,422679,102814,11423750
P06005,Adyar,1208,12-11-2009,80,2.0,2.0,4,Normal Sale,No,21-11-1975,Others,AllPub,Paved,RL,4.7,2.8,4.6,4.27,317856,10253,10253410
P10000,Velachery,1897,08-04-2004,52,3.0,2.0,5,Family,Yes,11-04-1995,Others,NoSeWa,No Access,RH,3.6,4.5,3.3,3.92,346191,205551,10818480
P09385,Velachery,1836,26-12-2006,23,3.0,2.0,5,Family,Yes,31-12-1984,House,AllPub,Paved,RH,3.8,4.1,3.3,3.79,343424,93661,10406790
P03156,KK Nagar,2422,16-05-2011,150,4.0,2.0,6,AdjLand,No,19-05-1996,House,NoSewr ,Gravel,RL,4.3,4.6,3.4,4.03,463717,175461,12532900
P04790,Velachery,1524,30-06-2010,33,2.0,1.0,4,Family,Yes,05-07-1988,Others,NoSewr ,Paved,RM,3.9,3.2,3.8,3.56,431078,187906,11053290
P06219,Anna Nagar,1914,04-10-2009,136,2.0,1.0,5,Partial,No,09-10-1990,House,ELO,Paved,RM,4.3,2.0,3.2,3.285,337858,64973,12994530
P02459,Karapakkam,1329,30-09-2011,151,1.0,1.0,3,AbNormal,No,05-10-1991,Commercial,NoSewr ,Gravel,C,2.2,4.5,3.1,3.25,392985,105435,9585000
P09965,Velachery,1520,25-06-2004,29,2.0,1.0,4,AdjLand,No,03-07-1975,Others,NoSewr ,Paved,A,2.5,4.0,4.7,3.84,278330,112836,7522430
P08994,Chrompet,970,20-05-2007,120,1.0,1.0,3,Family,No,27-05-1976,Commercial,NoSeWa,Paved,RL,4.4,4.9,2.2,3.94,329175,34053,11350850
P09524,Chrompet,1014,26-10-2006,83,1.0,1.0,3,AdjLand,Yes,04-11-1971,House,NoSewr ,Paved,RL,3.2,2.3,2.8,2.72,266123,91767,9176650
P03604,Karapakkam,766,18-02-2011,152,1.0,1.0,2,Partial,No,01-03-1967,Commercial,NoSeWa,No Access,C,3.3,2.1,3.6,3.06,194053,70995,4733000
P07503,Adyar,741,20-10-2008,157,1.0,1.0,2,Family,No,27-10-1982,Commercial,NoSewr ,Gravel,C,3.3,3.2,4.6,3.93,265839,70890,8861290
P08078,KK Nagar,1351,03-05-2008,192,2.0,1.0,4,Normal Sale,Yes,08-05-1989,House,NoSewr ,Gravel,RH,4.1,3.7,3.7,3.82,417788,102126,9284180
P09661,Velachery,1987,16-04-2006,158,3.0,2.0,5,Family,No,19-04-1995,Others,NoSeWa,Gravel,RH,3.7,3.0,2.9,3.15,423940,167345,11156320
P05469,Anna Nagar,1636,19-02-2010,66,1.0,1.0,4,Family,Yes,24-02-1990,Others,NoSewr ,No Access,RM,3.5,2.4,3.7,3.305,498902,256193,13483830
P03136,KK Nagar,2237,20-05-2011,28,4.0,2.0,6,AbNormal,No,21-05-2006,Commercial,NoSewr ,Paved,RM,3.5,2.8,3.1,3.13,706887,344381,18125300
P09516,Velachery,1524,29-10-2006,38,2.0,1.0,4,Normal Sale,No,06-11-1975,House,NoSewr ,Gravel,RH,4.7,2.1,4.8,3.56,304053,95559,8687220
P09405,Chrompet,1275,20-12-2006,138,2.0,1.0,4,AbNormal,Yes,29-12-1971,Commercial,NoSewr ,Paved,RH,3.2,2.6,2.0,2.6,382030,240537,14149250
P08391,Velachery,1671,17-01-2008,44,2.0,1.0,4,Normal Sale,No,18-01-2003,Others,ELO,Gravel,C,2.3,4.5,4.2,3.86,290549,181593,9079650
P00838,T Nagar,1781,22-06-2013,50,1.0,1.0,4,AdjLand,No,02-07-1973,Others,NoSewr ,Paved,RL,4.9,4.9,4.6,4.765,420986,81481,13580180
P00481,Chrompet,830,13-03-2014,191,1.0,1.0,3,Family,Yes,19-03-1991,Commercial,NoSewr ,No Access,RL,3.9,2.3,3.1,3.02,358342,162883,10858850
P00879,Chrompet,811,30-05-2013,10,1.0,1.0,3,Partial,Yes,08-06-1977,Commercial,NoSewr ,Paved,RM,2.8,2.5,3.7,2.95,345948,184506,11531600
P00906,Anna Nagar,1652,11-05-2013,132,1.0,1.0,4,AdjLand,No,17-05-1989,House,NoSewr ,No Access,RM,2.5,5.0,2.6,3.165,370420,71694,11949030
P09916,Velchery,1933,17-10-2004,3,3.0,2.0,5,Family,Yes,22-10-1985,House,ELO,Gravel,A,2.5,3.4,3.9,3.33,330629,119394,9184130
P04379,Chrompet,1274,13-09-2010,57,2.0,1.0,4,Normal Sale,No,21-09-1978,Commercial,NoSeWa,Gravel,RL,2.9,2.4,3.6,2.91,470395,242325,14254400
P07417,Velachery,1690,18-11-2008,28,2.0,1.0,4,AbNormal,No,02-12-1953,Others,ELO,Paved,RH,3.6,4.9,2.1,3.74,325691,105629,8802450
P05309,Adyar,668,21-03-2010,177,1.0,1.0,2,AbNormal,Yes,22-03-2005,Commercial,NoSeWa,Gravel,I,4.9,2.9,3.5,3.8,329074,102836,10283575
P01967,T Nagar,1759,07-01-2012,75,1.0,1.0,4,Family,No,16-01-1974,Others,NoSeWa,Paved,RH,4.7,4.0,4.1,4.255,412379,121288,12128780
P01488,Adyar,918,02-04-2012,5,1.0,1.0,3,Partial,Yes,05-04-2000,Others,NoSewr ,Paved,A,2.1,3.3,2.6,2.59,254199,7061,7061080
P07249,KK Nagar,1956,07-01-2009,103,3.0,2.0,5,Normal Sale,No,15-01-1980,Commercial,AllPub,Gravel,RM,4.4,3.0,3.3,3.54,516993,150095,16677180
P04670,Chrompet,958,22-07-2010,51,1.0,1.0,3,AbNormal,No,24-07-2001,Commercial,AllPub,No Access,RH,4.5,2.7,3.5,3.48,353778,96485,10720550
P09881,Velachery,1913,17-12-2004,143,3.0,2.0,5,Partial,Yes,26-12-1968,Commercial,AllPub,No Access,RL,2.9,2.4,3.5,2.86,583629,268154,15773770
P00272,Anna Nagar,1931,08-08-2014,164,2.0,1.0,5,Normal Sale,No,16-08-1982,Others,AllPub,No Access,RL,2.0,3.8,4.1,3.29,403988,201994,13466270
P00966,Anna Nagar,1842,02-04-2013,14,2.0,1.0,5,Family,Yes,09-04-1987,House,NoSeWa,No Access,RM,3.4,2.8,2.9,3.05,329111,210631,13164420
P08321,Chrompet,1163,15-02-2008,104,1.0,1.0,3,Family,No,17-02-1999,Others,AllPub,Paved,RM,3.2,3.3,3.0,3.18,337843,143327,10237660
P01059,Chrompet,968,18-01-2013,52,1.0,1.0,3,AbNormal,No,25-01-1987,House,AllPub,No Access,RL,4.2,4.9,4.9,4.69,211229,52807,7543900
P07086,T Nagar,1918,02-03-2009,78,2.0,1.0,5,Family,Yes,13-03-1965,Commercial,NoSeWa,No Access,RL,4.1,3.0,4.7,4.095,746911,207475,20747530
P04130,Karapakkam,1650,30-10-2010,14,2.0,2.0,4,Family,Yes,10-11-1964,Commercial,NoSeWa,Paved,A,3.0,5.0,3.9,3.96,411626,84436,10554500
P07054,KK Nagar,1834,09-03-2009,70,3.0,2.0,5,AdjLand,Yes,16-03-1983,House,NoSeWa,Paved,RL,2.9,3.5,3.9,3.48,479280,217854,10892720
P00011,Chrompet,1006,12-02-2015,38,1.0,1.0,3,AbNormal,No,17-02-1993,House,ELO,Gravel,RH,5.0,2.1,3.5,3.39,218996,39107,7821300
P03122,Velachery,1878,23-05-2011,171,3.0,2.0,5,AbNormal,Yes,30-05-1982,Others,ELO,Gravel,RM,3.3,3.7,3.1,3.42,506795,152039,12669880
P07400,KK Nagar,1953,25-11-2008,30,3.0,2.0,5,AbNormal,Yes,03-12-1979,House,NoSeWa,Paved,RH,4.9,4.8,3.5,4.31,483582,216069,10288980
P08306,Anna Nagar,1712,21-02-2008,51,1.0,1.0,4,AbNormal,Yes,27-02-1983,Others,NoSeWa,No Access,RH,3.6,2.9,2.5,2.985,312470,62494,12498810
P03509,Karapakkam,1040,13-03-2011,142,1.0,1.0,3,Normal Sale,Yes,18-03-1991,Commercial,ELO,Gravel,I,3.0,4.4,2.0,3.02,296577,200907,9567000
P03770,Karapakkam,873,13-01-2011,58,1.0,1.0,2,Partial,Yes,25-01-1964,House,ELO,No Access,I,3.8,2.5,4.0,3.49,161481,110730,4613750
P03198,Adyar,613,07-05-2011,172,1.0,1.0,2,AbNormal,Yes,15-05-1977,Others,NoSeWa,Paved,I,2.5,2.5,4.6,3.55,241316,73735,6703210
P03633,Karapakkam,1464,10-02-2011,185,2.0,2.0,4,Partial,Yes,11-02-2006,Others,NoSewr ,Gravel,I,4.1,4.6,3.5,4.01,431460,134831,8988750
P09134,Adyar,1146,26-03-2007,197,1.0,1.0,3,AbNormal,Yes,05-04-1967,House,ELO,No Access,RL,3.1,3.4,3.4,3.31,287606,62914,8987700
P08845,Adyar,1267,27-07-2007,49,2.0,2.0,4,Normal Sale,Yes,28-07-2002,House,ELO,No Access,C,2.8,3.9,3.8,3.52,301708,8381,8380775
P07572,Chrompet,1032,29-09-2008,33,1.0,1.0,3,Family,Yes,30-09-2004,Others,ELO,Paved,RM,2.8,4.4,3.7,3.71,315433,73601,10514440
P05010,T Nagar,1876,18-05-2010,196,2.0,1.0,5,AbNormal,Yes,20-05-2003,House,AllPub,Gravel,RL,4.2,4.8,2.3,3.495,572746,161544,14685790
P07708,KK Nagar,1758,28-08-2008,196,2.0,1.0,4,Family,No,05-09-1978,Others,NoSewr ,Paved,RM,2.2,4.8,3.0,3.3,376393,94098,10455360
P08053,Velachery,1967,09-05-2008,179,3.0,2.0,5,Family,Yes,17-05-1979,Others,AllPub,Gravel,RL,2.0,3.8,2.6,2.99,413808,250793,12539630
P06824,Chrompet,747,12-05-2009,78,1.0,1.0,2,Family,No,18-05-1987,House,NoSeWa,No Access,RL,2.9,3.1,3.6,3.19,186201,24827,6206700
P05238,Karapakkam,1399,04-04-2010,175,2.0,2.0,4,AdjLand,No,13-04-1972,Commercial,AllPub,No Access,RL,3.6,3.7,4.3,3.91,347792,86948,10868500
P06006,Anna Nagar,1710,12-11-2009,15,1.0,1.0,4,Normal Sale,Yes,15-11-1998,Commercial,AllPub,Gravel,RH,2.7,4.0,2.2,2.825,808639,161728,20215970
P09941,Velachery,1828,09-08-2004,142,3.0,2.0,5,Family,Yes,15-08-1982,Others,ELO,No Access,A,4.8,2.7,4.0,3.62,298084,93684,8516690
P05520,Karapakkam,1473,09-02-2010,80,2.0,2.0,4,Partial,Yes,12-02-2000,House,NoSewr ,Paved,RH,3.6,2.0,4.1,3.32,258912,100224,8352000
P00834,Chrompet,1017,24-06-2013,106,1.0,1.0,3,AbNormal,Yes,03-07-1976,House,AllPub,Paved,RL,2.1,4.1,4.8,3.71,234815,90314,9031350
P06533,KK Nagar,2061,30-07-2009,115,3.0,2.0,5,Partial,Yes,03-08-1995,Commercial,NoSeWa,Gravel,RL,2.5,2.4,2.2,2.35,725167,397115,17265880
P08782,Adyar,900,21-08-2007,20,1.0,1.0,3,AdjLand,Yes,30-08-1971,Others,NoSeWa,Gravel,RL,2.9,4.3,2.0,2.73,313982,30385,10128440
P04999,Karapakkam,1280,19-05-2010,162,1.0,1.0,3,Normal Sale,No,21-05-2000,Others,ELO,Paved,I,3.8,3.2,4.9,4.06,203505,122103,6783500
P03715,Chrompet,1048,26-01-2011,6,1.0,1.0,3,AdjLand,Yes,29-01-1997,Commercial,NoSewr ,No Access,RL,4.2,3.5,2.2,3.32,433340,157578,13131500
P01937,KK Nagar,2034,12-01-2012,165,3.0,2.0,5,Family,No,15-01-1997,House,NoSewr ,Gravel,RM,2.3,3.3,3.1,2.92,340395,260970,11346500
P07805,Adyar,1048,28-07-2008,165,1.0,1.0,3,Family,Yes,01-08-1993,House,ELO,No Access,RM,3.0,4.8,3.0,3.36,295471,123907,9531325
P06498,KK Nagar,2049,06-08-2009,7,3.0,2.0,5,Normal Sale,No,09-08-1998,House,AllPub,Paved,RH,2.8,2.3,3.2,2.81,400777,180350,10019420
P08370,Adyar,1250,26-01-2008,9,2.0,2.0,4,Partial,No,02-02-1979,Others,ELO,Gravel,A,3.8,2.6,4.3,3.81,306167,7850,7850435
P06684,KK Nagar,1820,26-06-2009,84,3.0,2.0,5,Normal Sale,Yes,27-06-2004,House,AllPub,Paved,RL,3.6,2.5,2.4,2.79,388329,221902,11095100
P02486,Chrompet,1011,25-09-2011,184,1.0,1.0,3,Family,Yes,28-09-1998,House,NoSewr ,No Access,RH,3.5,3.6,3.1,3.42,264005,128002,8000150
P05926,KK Nagar,1997,29-11-2009,28,3.0,2.0,5,Normal Sale,No,05-12-1987,Commercial,NoSewr ,Paved,RM,4.2,4.6,3.1,3.88,773321,263258,16453640
P06669,KK Nagar,2019,30-06-2009,188,3.0,2.0,5,AbNormal,No,05-07-1990,Others,AllPub,Paved,RH,3.2,2.2,4.6,3.46,373330,266664,10666560
P08164,Chrompet,949,04-04-2008,163,1.0,1.0,3,Normal Sale,Yes,12-04-1979,Others,ELO,Paved,RH,2.4,2.3,2.4,2.36,278681,92894,8444880
P09812,Velachery,1559,20-05-2005,110,2.0,1.0,4,Partial,No,01-06-1957,Others,AllPub,Paved,C,4.2,5.0,3.3,4.29,296776,74194,7419410
P01215,Anna Nagar,1869,21-10-2012,69,2.0,1.0,5,AdjLand,No,30-10-1976,Others,NoSeWa,Gravel,RM,3.1,4.9,4.7,4.19,525381,105076,15010890
P02135,Chrompet,770,03-12-2011,25,1.0,1.0,2,AbNormal,No,08-12-1990,Commercial,NoSeWa,Gravel,RH,4.4,3.7,3.6,3.88,325933,98768,9876750
P04816,Anna Nagar,1640,26-06-2010,132,1.0,1.0,4,Normal Sale,No,04-07-1977,House,NoSeWa,No Access,RL,3.5,3.1,3.1,3.24,372717,202332,10649060
P01062,Chrompet,1096,16-01-2013,179,1.0,1.0,3,AdjLand,Yes,26-01-1973,Others,NoSewr ,Gravel,RH,3.4,4.8,3.7,4.05,261033,90357,10039720
P04102,Karapakkam,692,07-11-2010,133,1.0,1.0,2,Normal Sale,No,09-11-2003,Commercial,ELO,Paved,RH,3.6,2.5,2.6,2.87,223976,76992,6999250
P02934,Karapakkam,774,26-06-2011,74,1.0,1.0,2,Normal Sale,Yes,03-07-1983,Commercial,NoSeWa,Paved,A,3.7,2.8,4.9,3.91,300330,89460,6390000
P01499,Adyar,1223,30-03-2012,144,2.0,2.0,4,AbNormal,No,04-04-1992,Others,AllPub,Paved,RM,2.3,2.8,2.6,2.55,384251,98807,10978600
P03102,Karapakkam,584,26-05-2011,70,1.0,1.0,2,Normal Sale,Yes,02-06-1981,Commercial,AllPub,No Access,RL,2.9,4.8,3.9,3.87,334778,96714,7439500
P04490,Karapakkam,1417,21-08-2010,29,2.0,2.0,4,AdjLand,Yes,30-08-1973,Commercial,NoSewr ,Paved,RL,2.5,2.0,2.6,2.39,553714,307619,12304750
P08481,T Nagar,1908,16-12-2007,30,2.0,1.0,5,Partial,No,21-12-1984,Commercial,ELO,Paved,RL,3.0,4.2,4.3,3.885,611940,203980,20398010
P03244,Adyar,746,27-04-2011,53,1.0,1.0,2,Family,Yes,28-04-2005,Others,ELO,No Access,C,3.0,4.2,4.4,3.94,249237,25563,6390690
P08148,Chrompet,950,08-04-2008,24,1.0,1.0,3,Partial,Yes,14-04-1985,Commercial,AllPub,No Access,RL,3.8,4.7,4.6,4.4,379944,118733,11873250
P03043,Velachery,1732,07-06-2011,188,2.0,1.0,4,AdjLand,No,08-06-2005,Others,ELO,No Access,I,4.5,2.6,2.1,2.93,276311,80219,8913270
P08471,Anna Nagar,1673,20-12-2007,120,1.0,1.0,4,AdjLand,Yes,30-12-1967,Others,ELO,Gravel,RM,3.2,2.2,3.7,3.15,588116,102920,14702890
P06120,KK Nagar,2396,19-10-2009,109,4.0,2.0,6,Partial,Yes,24-10-1990,House,NoSeWa,Paved,RM,3.8,3.6,4.7,4.1,496399,318205,12728180
P02313,KK Nagar,1577,26-10-2011,22,2.0,1.0,4,Family,No,28-10-2000,Commercial,NoSewr ,Gravel,RH,4.5,2.0,3.4,3.31,517819,172606,13277420
P07669,Velachery,1929,06-09-2008,134,3.0,2.0,5,AbNormal,No,10-09-1995,House,ELO,No Access,C,4.6,4.8,3.4,4.33,285536,71384,7931560
P03966,Karapakkam,774,03-12-2010,153,1.0,1.0,2,AdjLand,No,13-12-1971,House,NoSewr ,Gravel,A,3.1,3.6,3.8,3.53,146379,96192,4182250
P10019,Velachery,1744,07-02-2004,69,2.0,1.0,4,AbNormal,Yes,19-02-1955,Others,NoSewr ,Gravel,RM,2.3,4.8,3.9,3.91,477933,238967,11948330
P06980,Anna Nagar,1981,01-04-2009,173,2.0,1.0,5,AdjLand,No,03-04-2000,House,ELO,No Access,RL,2.0,3.1,3.2,2.755,373300,218831,12872430
P04401,Karapakkam,1190,08-09-2010,77,1.0,1.0,3,Family,No,10-09-2001,House,ELO,Gravel,I,3.1,3.4,3.9,3.51,253490,90997,6499750
P06100,Karapakkam,1218,23-10-2009,137,1.0,1.0,3,Partial,No,30-10-1981,Others,AllPub,Gravel,I,4.3,2.9,3.2,3.44,341238,116021,6824750
P02684,Karapakkam,1220,18-08-2011,134,1.0,1.0,3,AbNormal,Yes,20-08-2001,Others,NoSeWa,No Access,A,3.1,4.7,3.8,3.86,267766,110599,5821000
P09830,Velachery,1826,05-04-2005,134,3.0,2.0,5,AdjLand,Yes,11-04-1980,Others,NoSewr ,Gravel,A,2.0,2.8,2.8,2.6,324102,212692,10128200
P05872,Anna Nagar,1917,07-12-2009,49,2.0,1.0,5,Family,Yes,18-12-1964,House,ELO,Gravel,RM,4.5,4.8,2.7,3.855,413144,170956,14246350
P09012,Anna Nagar,1703,15-05-2007,51,1.0,1.0,4,Partial,Yes,22-05-1978,House,AllPub,No Access,RL,2.0,5.0,4.3,3.67,429512,83516,11930880
P01128,Chrompet,950,07-12-2012,156,1.0,1.0,3,Normal Sale,Yes,17-12-1974,House,NoSewr ,Gravel,RM,4.6,4.3,3.1,4.03,294525,127628,9817500
P09357,Chrompet,1083,07-01-2007,31,1.0,1.0,3,Partial,No,15-01-1974,Others,ELO,Gravel,RM,2.1,4.8,2.7,3.36,247506,123753,9519460
P06827,Chrompet,740,11-05-2009,175,1.0,1.0,2,Partial,Yes,21-05-1971,Commercial,NoSewr ,No Access,RH,3.8,3.3,2.7,3.27,289840,117748,9057500
P03267,Karapakkam,1297,23-04-2011,175,1.0,1.0,3,AdjLand,No,03-05-1968,Commercial,NoSewr ,Gravel,I,3.0,2.8,2.9,2.9,435435,118755,9896250
P00722,Chrompet,1280,12-09-2013,78,2.0,1.0,4,Family,No,16-09-1997,Others,AllPub,Paved,RM,2.4,3.6,2.7,2.97,278205,171203,10700200
P07553,Anna Nagar,1627,05-10-2008,50,1.0,1.0,4,AbNormal,No,10-10-1988,House,AllPub,Gravel,RL,3.0,3.0,2.2,2.68,483744,145123,12093600
P01513,KK Nagar,1852,27-03-2012,148,3.0,2.0,5,AbNormal,Yes,29-03-2004,House,NoSeWa,Gravel,RH,2.7,3.2,3.0,2.97,333894,183103,10770760
P09433,Chrompet,808,10-12-2006,39,1.0,1.0,3,Normal Sale,No,12-12-1999,Commercial,NoSewr ,No Access,RH,3.3,3.0,4.8,3.63,314954,95441,9544050
P09179,Adyar,883,07-03-2007,2,1.0,1.0,3,Partial,No,11-03-1989,Others,ELO,Paved,C,4.8,3.0,3.7,3.89,216844,44644,6377770
P09722,Velachery,1892,22-11-2005,38,3.0,2.0,5,AdjLand,Yes,01-12-1969,House,ELO,Gravel,RM,3.9,3.5,4.8,3.99,449425,133613,12146620
P06299,Adyar,1110,17-09-2009,95,1.0,1.0,3,Normal Sale,Yes,22-09-1988,Commercial,ELO,Paved,RM,3.0,3.6,4.7,3.97,524689,164902,14991115
P02650,Karapakkam,1268,26-08-2011,110,1.0,1.0,3,Family,No,30-08-1995,Others,AllPub,Paved,RH,4.4,3.7,4.8,4.35,328966,59812,7476500
P04564,Chrompet,831,08-08-2010,107,1.0,1.0,3,Normal Sale,Yes,13-08-1990,Others,NoSewr ,No Access,RL,2.2,3.4,4.1,3.25,276358,100494,8374470
P07061,Anna Nagar,1964,08-03-2009,156,2.0,1.0,5,AdjLand,No,18-03-1968,Others,NoSeWa,Paved,RH,4.5,3.9,4.7,4.43,395886,163815,13651240
P05866,Karapakkam,685,07-12-2009,73,1.0,1.0,2,Family,No,12-12-1989,House,NoSewr ,Gravel,RH,3.4,2.2,4.0,3.28,227740,51242,5693500
P03674,KK Nagar,2092,03-02-2011,166,3.0,2.0,5,Partial,No,08-02-1992,Others,AllPub,Gravel,RM,3.2,4.7,3.8,3.89,457491,160740,12364620
P01941,Karapakkam,1420,10-01-2012,76,2.0,2.0,4,Partial,No,11-01-2005,Others,NoSewr ,Gravel,C,4.8,2.8,2.0,3.08,213983,57062,7132750
P07593,KK Nagar,1501,26-09-2008,16,2.0,1.0,4,Family,Yes,02-10-1985,Others,NoSeWa,Paved,RM,3.6,4.5,3.2,3.71,491357,85453,10681680
P08867,Anna Nagar,1514,19-07-2007,147,1.0,1.0,4,Normal Sale,No,23-07-1991,House,NoSeWa,Gravel,RH,3.8,2.2,2.9,3.04,305075,141642,10895520
P05263,KK Nagar,1825,30-03-2010,155,3.0,2.0,5,AdjLand,No,06-04-1982,Others,AllPub,Gravel,RH,4.4,4.4,3.4,4.0,485238,215661,10783060
P05155,Karapakkam,561,18-04-2010,114,1.0,1.0,2,Partial,No,25-04-1982,Commercial,NoSeWa,Gravel,RH,3.3,2.4,4.0,3.31,274125,159375,6375000
P03625,Adyar,1013,13-02-2011,153,1.0,1.0,3,AbNormal,Yes,18-02-1992,Others,NoSeWa,Paved,RM,4.6,3.1,3.5,3.75,410912,86508,10813485
P09555,Anna Nagar,1694,13-10-2006,97,1.0,1.0,4,AbNormal,No,22-10-1969,Others,ELO,Gravel,RH,2.2,2.9,4.6,3.335,416895,73570,12261610
P05069,Chrompet,870,05-05-2010,83,1.0,1.0,3,AdjLand,No,10-05-1989,House,ELO,No Access,RL,4.8,3.9,3.3,3.99,202579,36175,7234950
P06214,Adyar,1018,05-10-2009,66,1.0,1.0,3,Family,Yes,07-10-2001,Others,AllPub,No Access,RH,3.6,4.4,3.0,3.46,350106,128986,9213320
P01911,Adyar,852,16-01-2012,68,1.0,1.0,3,Partial,No,22-01-1988,Commercial,ELO,Paved,A,3.9,4.6,2.8,3.49,317515,41778,8355660
P03344,KK Nagar,1418,11-04-2011,94,2.0,1.0,4,Partial,Yes,13-04-2000,House,AllPub,Gravel,RH,2.8,4.7,2.2,3.13,392894,187092,9354620
P07989,KK Nagar,2198,30-05-2008,153,3.0,2.0,5,Partial,No,01-06-2002,House,NoSewr ,Paved,RM,2.9,2.9,2.7,2.82,361681,214748,11302520
P05944,Karapakkam,1633,23-11-2009,196,2.0,2.0,4,AbNormal,No,04-12-1964,Commercial,NoSeWa,No Access,RH,2.5,4.9,3.4,3.58,460605,235659,10711750
P03107,Karapakkam,1194,25-05-2011,110,1.0,1.0,3,Family,No,03-06-1973,Others,NoSeWa,Gravel,A,4.8,4.6,3.2,4.1,229932,64167,5347250
P08006,Chrompet,1152,24-05-2008,51,1.0,1.0,3,Partial,Yes,28-05-1994,Others,NoSeWa,Paved,RL,3.3,3.8,3.2,3.47,323928,50614,10122740
P06835,Chrompet,869,09-05-2009,133,1.0,1.0,3,Partial,No,18-05-1972,House,ELO,Gravel,RH,3.3,3.4,4.9,3.82,225454,61488,6831950
P07949,Anna Nagar,1970,13-06-2008,180,2.0,1.0,5,Partial,Yes,16-06-1998,House,ELO,Paved,RL,2.1,2.3,3.3,2.63,383698,68518,13703500
P02193,Karapakkam,526,17-11-2011,45,1.0,1.0,2,Partial,Yes,20-11-1998,Commercial,NoSeWa,No Access,RL,3.7,2.3,4.6,3.64,326967,125222,6956750
P06247,Karapakkam,1246,29-09-2009,83,1.0,1.0,3,Normal Sale,Yes,07-10-1979,Commercial,NoSeWa,No Access,A,2.2,3.8,2.5,2.8,251178,170153,8102500
P09381,Anna Nagar,1599,28-12-2006,137,1.0,1.0,4,Partial,No,06-01-1972,House,AllPub,No Access,RH,4.1,5.0,2.2,3.565,311797,116924,9743650
P07940,Velachery,1634,16-06-2008,73,2.0,1.0,4,AbNormal,No,20-06-1992,Others,AllPub,Paved,RH,2.5,4.3,3.9,3.73,356825,106083,9643920
