,Model_1,Model_2,Model_3,Model_4,Model_5,Model_6
81,0.5310028,1.0,1.0,0.97861624,0.5091854,1.0
82,0.47500533,1.1087659e-32,7.325537e-13,0.020840408,0.46559712,1.9889185e-16
83,0.5004932,2.3631958e-32,2.36293e-07,0.10376922,0.48304167,1.5456446e-13
84,0.4861243,1.0,0.99999636,0.53774166,0.47524834,1.0
85,0.48002106,6.799622e-36,6.242522e-12,0.0460283,0.4720134,2.791678e-13
86,0.495082,3.2704144e-24,3.2774067e-10,0.031154998,0.46765715,4.2867003e-14
87,0.47650072,1.9316995e-10,9.443962e-06,0.3508768,0.48576945,1.0721272e-08
88,0.4855475,1.0,0.9999998,0.5830738,0.48726353,1.0
89,0.52218723,1.0,1.0,0.98236126,0.5224187,1.0
90,0.48045388,0.0,5.5314755e-12,0.02550149,0.48705548,3.892956e-23
91,0.49462205,0.0,9.0341485e-15,0.020999312,0.4733102,2.7656643e-22
92,0.4957361,4.8620347e-34,3.7394335e-10,0.1266433,0.4947518,2.2621919e-14
93,0.50212884,1.0,1.0,0.9767906,0.50687635,1.0
94,0.52118224,1.0,1.0,0.98404205,0.5301724,1.0
95,0.49624425,7.103035e-29,3.215365e-10,0.052139763,0.48549187,2.7074453e-16
96,0.488389,3.5733283e-32,9.317077e-07,0.27655795,0.49481666,8.244315e-11
97,0.4867772,1.5140998e-31,8.932518e-13,0.027846219,0.46576428,2.2337061e-21
98,0.51635826,1.0,1.0,0.98202866,0.4945644,1.0
99,0.4758016,6.595864e-25,1.3723163e-06,0.080559,0.4835544,1.9332595e-13
100,0.5213313,1.0,1.0,0.9583295,0.51289034,1.0
101,0.4849704,7.940071e-30,1.6112124e-06,0.06767825,0.4923228,4.3017242e-13
102,0.47439694,1.8615806e-22,9.422629e-12,0.03911808,0.46710613,1.1241261e-12
103,0.5269262,1.0,1.0,0.98172146,0.5116839,1.0
104,0.5314608,1.0,1.0,0.9876257,0.52816236,1.0
105,0.53211683,1.0,1.0,0.992585,0.5276133,1.0
106,0.47766888,5.429853e-18,2.1738595e-05,0.052019328,0.48687437,4.3554884e-09
107,0.51033473,1.0,1.0,0.9697546,0.5039475,1.0
108,0.5270769,1.0,1.0,0.97174424,0.5007704,1.0
109,0.4823782,1.0,0.99999744,0.64208204,0.49188286,1.0
110,0.52881753,1.0,1.0,0.9753909,0.50500673,1.0
111,0.52905107,1.0,1.0,0.9861356,0.5268166,1.0
112,0.4854581,0.0,2.8732033e-15,0.023824928,0.4686197,1.0751683e-19
113,0.49321002,1.0,0.99999887,0.81815416,0.47306865,1.0
114,0.49653956,0.0,3.021156e-13,0.020811232,0.46784386,3.3077838e-21
115,0.52440417,1.0,1.0,0.9775519,0.51236695,1.0
116,0.49037552,2.5790653e-35,3.1171576e-10,0.09013877,0.45321867,9.890993e-14
117,0.49843642,1.0,1.0,0.9641541,0.50484663,1.0
118,0.5271923,1.0,1.0,0.9815803,0.52901685,1.0
119,0.49527565,0.0,2.963076e-14,0.019906621,0.46497813,5.0432317e-20
120,0.52473515,1.0,1.0,0.98576844,0.52968806,1.0
121,0.5198162,1.0,1.0,0.9838642,0.5319878,1.0
122,0.47583288,8.562013e-22,3.1888703e-10,0.051732894,0.4674144,6.480899e-13
123,0.52862626,1.0,1.0,0.9601492,0.51495075,1.0
124,0.5187436,1.0,1.0,0.98087317,0.51895005,1.0
125,0.47962418,0.0,3.9675887e-15,0.02408237,0.47696,7.456889e-26
126,0.5250382,1.0,1.0,0.9836565,0.5133993,1.0
127,0.4859954,2.825362e-35,5.0140755e-12,0.043010805,0.47405016,8.5979676e-18
128,0.5060088,1.5869935e-23,2.6844159e-11,0.031188035,0.46496704,3.2684305e-17
129,0.48099563,2.5409772e-37,1.1570209e-09,0.04198289,0.46252432,1.6756708e-09
130,0.5293339,1.0,1.0,0.98236364,0.5140091,1.0
131,0.47525343,0.0,5.3519023e-15,0.02949416,0.47012374,1.0874924e-21
132,0.51913303,1.0,1.0,0.98250186,0.49953362,1.0
133,0.5189796,1.0,1.0,0.9824491,0.5287886,1.0
134,0.5299624,1.0,1.0,0.9924102,0.5268942,1.0
135,0.4759546,1.8801495e-23,6.278707e-11,0.046612065,0.47030517,2.7873008e-12
136,0.48557422,0.0,5.8668932e-15,0.029108224,0.47230667,3.8985693e-25
137,0.4791287,0.0,1.6034483e-15,0.021802763,0.47431374,3.4554488e-22
138,0.5222538,1.0,1.0,0.98435926,0.52013266,1.0
139,0.47136238,3.206671e-23,1.2568395e-10,0.03961076,0.48805407,2.3057292e-09
140,0.4805813,0.0,9.974779e-16,0.019643687,0.4728547,6.067775e-26
141,0.48796377,0.0,1.8557467e-13,0.035151936,0.4819772,1.8100502e-20
142,0.5037276,3.0444744e-35,9.530435e-14,0.019177286,0.4680384,8.0628355e-22
143,0.48401722,0.0,6.7763898e-15,0.023515644,0.4743143,4.6140517e-22
144,0.46915942,2.9796484e-21,7.197478e-10,0.036140267,0.48908237,5.339003e-12
145,0.4810317,0.0,1.04188894e-10,0.079245925,0.47218433,1.2051414e-13
146,0.482107,0.0,8.24165e-13,0.035814453,0.48047754,5.6263172e-15
147,0.5228348,1.0,1.0,0.98376083,0.5080439,1.0
148,0.52188,1.0,1.0,0.984922,0.5210539,1.0
149,0.47937393,9.2396744e-38,3.7453707e-11,0.04480021,0.4603114,4.1298974e-12
150,0.48514318,1.0,0.9999994,0.75925577,0.48764226,1.0
151,0.4798922,1.4827138e-32,5.351444e-11,0.05534365,0.4734113,9.321492e-15
152,0.52224874,1.0,1.0,0.98248065,0.5294307,1.0
153,0.48875555,1.7059088e-33,2.2934862e-10,0.05363588,0.45463717,3.225753e-13
154,0.52232736,1.0,1.0,0.9785772,0.5061009,1.0
155,0.4871998,0.0,1.5174262e-14,0.023015477,0.4699237,1.3229381e-20
156,0.5174506,1.0,1.0,0.9794827,0.50770503,1.0
157,0.5044652,1.0,1.0,0.97866124,0.49587518,1.0
158,0.49256054,1.0,0.99999934,0.86830276,0.48574504,1.0
159,0.4891672,0.0,3.65276e-14,0.020905662,0.46790186,7.137206e-21
160,0.47490928,1.4875197e-11,4.9860067e-09,0.049039036,0.4801437,3.880999e-11
161,0.5212864,1.0,1.0,0.9748272,0.52309656,1.0
162,0.48699495,0.0,2.9044876e-16,0.031068003,0.47078285,2.8248391e-24
163,0.47090966,3.4580237e-20,2.1507722e-08,0.0682906,0.4813002,1.0735845e-11
164,0.47089326,6.1006968e-15,1.4166818e-09,0.04529882,0.48218724,9.067796e-11
165,0.5031176,1.0,0.9999998,0.98164445,0.48146743,1.0
166,0.48118386,3.040591e-32,7.398495e-10,0.08125691,0.4934374,3.503271e-10
167,0.49025977,1.0,0.9999999,0.8162075,0.48018587,1.0
168,0.49278912,1.0,0.99999994,0.9618139,0.47847635,1.0
169,0.4807038,5.0346945e-36,7.19498e-10,0.049933393,0.4671473,7.6715756e-10
170,0.5318756,1.0,1.0,0.991865,0.5282639,1.0
171,0.48132896,2.3372632e-36,8.380012e-10,0.075499244,0.46691075,2.899101e-13
172,0.4855892,1.0,0.999998,0.8402388,0.48424292,1.0
173,0.5192623,1.0,1.0,0.9805869,0.5286381,1.0
174,0.47833154,0.0,9.718999e-14,0.034099866,0.46994624,6.4323656e-17
175,0.5214761,1.0,1.0,0.9840299,0.53030455,1.0
176,0.47775504,2.8796113e-30,4.339184e-10,0.041067522,0.46729153,2.6237823e-11
177,0.4732368,0.0,4.388292e-13,0.028348237,0.4706729,1.3309314e-19
178,0.50624096,1.0,1.0,0.9801662,0.50309575,1.0
179,0.47726372,2.3284709e-36,3.469734e-11,0.03771004,0.47070056,5.4225726e-16
180,0.4762332,1.1255847e-20,2.3113597e-10,0.09630784,0.47349855,5.5489397e-13
181,0.4847038,1.0,0.99999976,0.76161766,0.46934694,1.0
182,0.5012606,1.0,1.0,0.9819058,0.50187254,1.0
183,0.53652567,1.0,1.0,0.9938398,0.5224829,1.0
184,0.471915,1.273177e-24,1.6248114e-11,0.040877104,0.48072872,6.9124085e-13
185,0.5011636,2.0869205e-33,4.00949e-08,0.19969629,0.4887927,2.5539038e-13
186,0.5066701,1.0,1.0,0.9562275,0.49996844,1.0
187,0.47993535,0.0,7.664182e-12,0.04090765,0.4664942,3.6600218e-17
188,0.53043664,1.0,1.0,0.9827758,0.50935775,1.0
189,0.502161,1.0,0.99999994,0.98017937,0.48342714,1.0
190,0.4985497,1.0,0.999979,0.67138904,0.47771987,1.0
191,0.5102184,1.0,0.9999999,0.9696103,0.47676542,1.0
192,0.5209866,1.0,1.0,0.95231074,0.51717526,1.0
193,0.5232086,1.0,1.0,0.9903899,0.5233024,1.0
194,0.4995895,1.0,1.0,0.97580326,0.504702,1.0
195,0.47842488,1.3887926e-36,5.8526855e-12,0.033325925,0.4625388,2.0409993e-12
196,0.4961249,1.0,1.0,0.9088259,0.46977013,1.0
197,0.52186227,1.0,1.0,0.9847181,0.50373197,1.0
198,0.5235743,1.0,1.0,0.9811616,0.5175124,1.0
199,0.52014214,1.0,1.0,0.98462224,0.5201406,1.0
200,0.46761268,0.0,1.8749572e-15,0.022597918,0.47093102,6.891638e-16
201,0.4857873,0.0,6.454026e-15,0.024726622,0.47435692,4.6403983e-25
202,0.53038186,1.0,1.0,0.99105716,0.53311855,1.0
203,0.48158514,0.0,7.743099e-16,0.02756418,0.46776536,2.5706562e-21
204,0.47347173,2.1163961e-21,7.730112e-09,0.046222683,0.46943036,3.5740928e-09
205,0.4851781,0.0,4.8426038e-17,0.030167993,0.4717883,3.3312176e-24
206,0.51037973,1.0,1.0,0.9810654,0.50035435,1.0
207,0.47405976,1.7507964e-21,1.6281986e-08,0.065301314,0.4829468,9.377698e-12
208,0.49097353,2.2748761e-31,9.643017e-10,0.07510256,0.45941314,6.493356e-14
209,0.47681394,1.1767141e-18,8.5934204e-08,0.07294007,0.48108795,6.6625017e-09
210,0.48273742,0.0,1.800789e-14,0.023715965,0.47515354,5.28656e-17
211,0.48248044,2.6563705e-27,7.826172e-09,0.06229494,0.48424202,9.693358e-14
212,0.48825672,6.0212304e-38,1.1862227e-12,0.046663523,0.46184734,2.1746637e-16
213,0.48617733,3.9544612e-36,2.8991483e-11,0.059255745,0.469458,4.7516973e-12
214,0.4959506,0.0,1.1567994e-14,0.024136059,0.46765128,7.40699e-19
215,0.47928318,0.0,5.8319035e-12,0.032469727,0.46923524,1.4700771e-15
216,0.46870875,1.9129534e-28,2.5228206e-10,0.03699212,0.48131582,1.208498e-12
217,0.49150753,0.9999944,0.9999765,0.048172627,0.47924513,1.0
218,0.52155465,1.0,1.0,0.9770146,0.5155691,1.0
219,0.4776295,1.44139365e-33,1.3406525e-10,0.05363677,0.47193047,6.760321e-14
220,0.5217159,1.0,1.0,0.9775763,0.5078822,1.0
221,0.5302464,1.0,1.0,0.98204124,0.5058242,1.0
222,0.4896694,1.9532863e-31,3.805079e-10,0.08474321,0.49010727,3.4429206e-12
223,0.4842826,0.9999988,0.99999964,0.14391792,0.47455326,0.9999976
224,0.5125129,1.0,1.0,0.9747951,0.5172515,1.0
225,0.48437688,5.2747727e-33,6.054965e-11,0.048705563,0.45685747,6.745216e-13
226,0.47150654,1.390286e-38,1.9051954e-15,0.022201747,0.47522882,1.8717342e-15
227,0.49409488,2.6548416e-19,2.8946467e-10,0.07707519,0.46627042,9.288533e-19
228,0.47719085,1.1007908e-27,7.187587e-10,0.06111893,0.48505816,2.8344091e-12
229,0.48001984,2.679396e-31,9.091968e-12,0.03784987,0.47140047,2.2773345e-15
230,0.4844833,1.0,0.99999917,0.68355507,0.48005447,1.0
231,0.49316594,1.9523158e-33,1.925877e-09,0.07738508,0.49393463,1.0669318e-11
232,0.48809227,2.3295708e-15,7.77934e-05,0.8027051,0.4878608,1.465306e-09
233,0.50242865,1.3625649e-36,4.9719008e-14,0.021565361,0.46187297,2.734653e-22
234,0.48384747,1.8049417e-34,2.864427e-11,0.06035245,0.4627732,1.7078618e-11
235,0.4884963,5.49214e-18,1.8428012e-10,0.08565913,0.4692035,5.1999183e-16
236,0.5255636,1.0,1.0,0.9812346,0.52969676,1.0
237,0.50385946,1.0,1.0,0.9733883,0.49835527,1.0
238,0.4784206,2.2769805e-28,3.897516e-09,0.040012788,0.49412537,3.0173824e-14
239,0.51551324,1.0,1.0,0.98607075,0.50321215,1.0
240,0.4906503,1.3040671e-37,1.9542602e-11,0.05642529,0.46460637,7.226288e-16
241,0.5105732,1.0,1.0,0.9760073,0.4919486,1.0
242,0.47019452,1.517452e-18,3.6686052e-09,0.05289481,0.47992194,7.180856e-11
243,0.49883053,1.5545266e-35,4.2725983e-09,0.14417754,0.4880492,7.3090706e-16
244,0.48704877,0.0,8.2668713e-13,0.033376962,0.4779565,4.023986e-15
245,0.49557444,3.3389561e-22,1.7138591e-08,0.076169364,0.47924307,3.1254253e-11
246,0.47895217,0.0,3.5925752e-12,0.038871404,0.47614387,7.631167e-17
247,0.4702867,4.516982e-13,1.3345644e-07,0.11393221,0.47950953,4.6686854e-09
248,0.48096734,0.0,9.28593e-15,0.024417909,0.47520712,5.8063244e-18
249,0.5197231,1.0,1.0,0.98264384,0.5054671,1.0
250,0.48976287,1.8123855e-20,1.3671717e-05,0.701122,0.5074862,7.685385e-14
251,0.4793068,0.0,2.2630068e-11,0.03677495,0.47166395,4.1953454e-14
252,0.472647,1.8869749e-31,1.3775539e-10,0.036610596,0.4777552,5.388772e-17
253,0.4867123,1.0,0.99999857,0.1545918,0.48029223,1.0
254,0.49119455,1.0,0.9999999,0.74802244,0.4913499,1.0
255,0.5306429,1.0,1.0,0.9925016,0.51819235,1.0
256,0.47588754,7.199049e-31,3.3018047e-08,0.06501715,0.4796921,3.949011e-10
257,0.4904263,3.6675456e-22,2.6243619e-08,0.4850412,0.49050394,1.17232e-16
258,0.5259499,1.0,1.0,0.98967105,0.5230243,1.0
259,0.47461516,1.0673655e-22,1.1872975e-09,0.041875504,0.46940264,4.1330987e-11
260,0.47508943,8.314874e-11,2.8939653e-06,0.40263477,0.4858819,2.9166097e-10
261,0.53193897,1.0,1.0,0.99294055,0.52963644,1.0
262,0.48009753,4.2967068e-35,1.8947202e-10,0.04849258,0.46461597,1.423901e-13
263,0.4889182,1.0,1.0,0.881188,0.47038093,1.0
264,0.48809126,1.7813666e-38,6.7624004e-13,0.024530761,0.46262488,5.386033e-19
265,0.52287483,1.0,1.0,0.9752888,0.5087387,1.0
266,0.5222019,1.0,1.0,0.9792934,0.50899345,1.0
267,0.4988935,0.0,3.5310252e-09,0.08958556,0.48026395,1.2787743e-13
268,0.5213911,1.0,1.0,0.979258,0.5134125,1.0
269,0.4827902,5.997709e-31,9.002654e-11,0.042578325,0.4666793,1.04347236e-13
270,0.48852465,1.0,0.9999989,0.60770416,0.47816852,1.0
271,0.47085515,1.5882427e-21,2.1828028e-10,0.042706396,0.46753928,2.1881407e-08
272,0.47233388,8.693137e-28,4.811298e-11,0.048776865,0.46770728,2.2871183e-09
273,0.5327885,1.0,1.0,0.9786884,0.51010776,1.0
274,0.48128524,1.0,0.99999946,0.564225,0.48334315,1.0
275,0.51413065,1.0,1.0,0.96742684,0.50475657,1.0
276,0.49036434,1.0,0.99996734,0.63043505,0.4746286,1.0
277,0.52543724,1.0,1.0,0.9892714,0.5229789,1.0
278,0.5318983,1.0,1.0,0.97334355,0.5130983,1.0
279,0.5260172,1.0,1.0,0.9792093,0.5300042,1.0
280,0.52069,1.0,1.0,0.9783533,0.5228566,1.0
281,0.48275912,5.7831166e-32,3.556056e-11,0.112600796,0.4795589,5.2142177e-17
282,0.5199445,1.0,1.0,0.98810714,0.51585966,1.0
283,0.47823134,1.0,0.9999934,0.52502215,0.4807677,1.0
284,0.524941,1.0,1.0,0.98689306,0.5213372,1.0
285,0.5291538,1.0,1.0,0.9932371,0.5256245,1.0
286,0.46805218,1.4828594e-19,1.6630407e-08,0.040517997,0.4917533,2.372293e-08
287,0.4903399,1.5928e-35,4.5051895e-15,0.020962132,0.47357515,2.3035251e-18
288,0.51082253,1.0,1.0,0.9707116,0.49265876,1.0
289,0.48189843,0.0,1.0788105e-15,0.03106342,0.47679192,5.536056e-27
290,0.53102696,1.0,1.0,0.98533446,0.53165126,1.0
291,0.51266766,1.0,1.0,0.97574,0.51457745,1.0
292,0.49023208,0.0,3.4971956e-10,0.057189934,0.46784708,1.8498423e-12
293,0.48573145,1.0,0.99999964,0.81344825,0.4907932,1.0
294,0.49355495,1.0,0.9999994,0.92977643,0.48456112,1.0
295,0.4830597,1.0,0.9999991,0.25649723,0.48196903,1.0
296,0.51510245,1.0,1.0,0.977823,0.5021496,1.0
297,0.49803025,1.3900356e-32,1.1908252e-11,0.036787298,0.46865383,3.5479324e-15
298,0.4864594,1.6394038e-20,2.8700924e-07,0.51844984,0.47890133,7.2156775e-10
299,0.5204716,1.0,1.0,0.98615646,0.5111084,1.0
300,0.51719826,1.0,1.0,0.9743412,0.50593424,1.0
301,0.5340332,1.0,1.0,0.9932921,0.5244671,1.0
302,0.46948177,0.0,3.2162257e-16,0.024380177,0.47974396,2.9133324e-23
303,0.48231027,9.855099e-18,4.4083197e-07,0.560172,0.48356712,3.7422732e-10
304,0.5263734,1.0,1.0,0.9814335,0.5144817,1.0
305,0.48888755,1.0,1.0,0.24411227,0.47781402,1.0
306,0.5049224,1.0,0.99999976,0.9760701,0.4764011,1.0
307,0.5235474,1.0,1.0,0.9798071,0.51472515,1.0
308,0.4991326,1.0,0.99999946,0.96012235,0.48991838,1.0
309,0.5306251,1.0,1.0,0.99020845,0.5272679,1.0
310,0.5077444,1.0,1.0,0.96539325,0.50090086,1.0
311,0.47587332,1.6210159e-34,9.664994e-12,0.035483595,0.4722708,1.2133193e-14
312,0.4942277,1.0,1.0,0.97742,0.50180614,1.0
313,0.5305235,1.0,1.0,0.9825461,0.50206584,1.0
314,0.52181745,1.0,1.0,0.95076174,0.5150336,1.0
315,0.47394052,6.318375e-26,8.2532e-12,0.043820865,0.4720412,2.978472e-10
316,0.48915014,0.0,6.4321445e-17,0.0306132,0.47110116,9.737416e-27
317,0.5331893,1.0,1.0,0.97857416,0.50421154,1.0
318,0.47473073,0.0,6.812531e-12,0.03865503,0.46127293,2.2422383e-14
319,0.46895915,1.5904411e-24,1.0457787e-11,0.036340203,0.48609886,1.3239597e-10
320,0.5152567,1.0,1.0,0.98233503,0.49983928,1.0
321,0.51541835,1.0,1.0,0.9735932,0.51430005,1.0
322,0.47688493,9.253794e-21,3.157316e-09,0.06635297,0.48524433,5.186681e-10
323,0.52350575,1.0,1.0,0.98370457,0.5180219,1.0
324,0.5268624,1.0,1.0,0.9914797,0.5246407,1.0
325,0.48522222,6.085457e-35,1.14910885e-11,0.043967,0.4658915,4.9982345e-12
326,0.5264658,1.0,1.0,0.9897233,0.5253779,1.0
327,0.4680953,2.3404202e-11,4.2257394e-08,0.106356554,0.47434646,1.2146994e-06
328,0.50007224,6.474433e-33,1.6399067e-13,0.019889748,0.45834512,8.541759e-21
329,0.47675264,1.1343958e-27,1.9674504e-08,0.05906848,0.47895348,1.1596727e-08
330,0.52422345,1.0,1.0,0.98610836,0.51575166,1.0
331,0.5192134,1.0,1.0,0.9821059,0.53234404,1.0
332,0.48215568,1.01611454e-25,5.659557e-10,0.050415054,0.48446602,4.4082646e-10
333,0.52410793,1.0,1.0,0.987301,0.5332135,1.0
334,0.5049372,1.0,1.0,0.9742332,0.5051797,1.0
335,0.48623645,3.1505381e-34,2.38463e-10,0.056760002,0.4655626,1.1364557e-15
336,0.4820915,6.8433615e-37,1.3261476e-11,0.07162173,0.46131092,7.0927097e-13
337,0.5266319,1.0,1.0,0.93920606,0.51159745,1.0
338,0.4729703,2.812293e-23,5.508479e-09,0.041409798,0.4851309,3.873474e-13
339,0.51501197,1.0,1.0,0.9813404,0.51264536,1.0
340,0.5282605,1.0,1.0,0.98133427,0.51398796,1.0
341,0.52039975,1.0,1.0,0.9552371,0.51233405,1.0
342,0.4753632,1.5611075e-13,3.325531e-08,0.06066478,0.49426883,1.8704256e-10
343,0.48915443,1.0,0.99999964,0.7681876,0.47327322,1.0
344,0.47778282,5.1709635e-37,1.8881399e-10,0.04664951,0.47367924,4.64485e-11
345,0.5284294,1.0,1.0,0.9837463,0.52822554,1.0
346,0.53010017,1.0,1.0,0.9845136,0.5141234,1.0
347,0.48322794,6.4665585e-26,3.9253711e-10,0.06670897,0.47930577,1.5249726e-18
348,0.4772964,0.0,2.3414635e-16,0.026146615,0.48261052,7.296155e-21
349,0.47743908,0.0,2.802932e-12,0.03898662,0.48024294,1.9507927e-15
350,0.49458286,1.0,0.9999979,0.9375574,0.47471958,1.0
351,0.4736408,0.0,4.8382696e-15,0.024037428,0.4671573,1.03275435e-17
352,0.5154968,1.0,1.0,0.9739277,0.5072669,1.0
353,0.47785062,0.0,8.957414e-12,0.04019289,0.48599827,2.5503607e-20
354,0.5060094,1.0,1.0,0.9805242,0.49626806,1.0
355,0.52466434,1.0,1.0,0.98515236,0.52315795,1.0
356,0.48379445,6.241779e-36,2.351266e-11,0.047385164,0.45848233,2.1008348e-14
357,0.49749434,1.0,0.9999999,0.94387704,0.47188377,1.0
358,0.48275897,9.251944e-24,6.458851e-08,0.09307557,0.47546962,3.0101643e-09
359,0.4864661,4.205764e-35,6.429981e-11,0.035096183,0.47338167,2.391342e-19
360,0.48046482,2.4233945e-24,1.3044414e-07,0.0657046,0.48352942,1.2867041e-09
361,0.52399933,1.0,1.0,0.9898254,0.5221512,1.0
362,0.49140444,0.0,3.6945333e-15,0.021539204,0.47166106,5.1503403e-19
